Title,Variant Inventory Qty,Variant Price,Image Src,SEO Description
Ayres Chambray,1,98,https://cdn.shopify.com/s/files/1/0803/6591/products/chambray_5f232530-4331-492a-872c-81c225d6bafd.jpg?v=1426630717,
Lodge,1,36,https://cdn.shopify.com/s/files/1/0803/6591/products/lodge_women_white2_df6cafb7-1756-4991-8f1c-e074ecf4a5f2.jpeg?v=1426786254,"The lodge, after a day of white slopes, is a place of revelry, blazing fires and high spirits.  100% organic cotton, stonewashed graphic tee."
Pennsylvania Notebooks,1,10,https://cdn.shopify.com/s/files/1/0803/6591/products/PA1_5b8b54ac-f422-4e1a-a275-a13a9735203f.jpeg?v=1426786334,"The Field Notes ""State Fair"" limited edition series features three notebooks, each with information on the great state of Pennsylvania"
Mud Scrub Soap,0,15,https://cdn.shopify.com/s/files/1/0803/6591/products/soap.jpeg?v=1426786369,"Bush Smart's Mud Scrub is part of their ""Man Soap"" collection. The Mud Scrub soap is made from patchouli essential oil, purifying mud, and all natural vegetable ingredients."
Whitney Pullover,0,138,https://cdn.shopify.com/s/files/1/0803/6591/products/WhitneyPullover_Full_58e7b8d6-b939-4701-9e1d-9d853dff60ed.jpeg?v=1426786004,"The Whitney Pullover by United By Blue. 100% Wool, 4 guage. Handmade in Nepal"
Gertrude Cardigan,4,108,https://cdn.shopify.com/s/files/1/0803/6591/products/gertrude_charcoal.jpeg?v=1426786110,"The Shipton Cardigan by United By Blue. 100% Nepalese Wool, 8 guage. Handmade"
Harriet Chambray,0,98,https://cdn.shopify.com/s/files/1/0803/6591/products/HarrietChambray_Longsleeves_25493de2-c72b-49a0-b319-d9d4117fae8e.jpeg?v=1426786037,"100% organic cotton chambray, 4.9 oz fabric, natural corozo buttons.  Made in United By Blue's hometown of Philadelphia, USA."
Derby Tier Backpack,50,148,https://cdn.shopify.com/s/files/1/0803/6591/products/derbytier_nutmeg_810294de-9152-4bf7-b5e0-b88fc94a1ff8.jpeg?v=1426786410,"100% organic canvas exterior with padded straps, leather details, and brass hardware. Available in Navy Blue, Khaki, Moss Green, Nutmeg, and Chocolate"
Chevron,0,36,https://cdn.shopify.com/s/files/1/0803/6591/products/chevron_cream_542f1c3e-e0d9-4c94-aaa2-fff0d1368206.jpeg?v=1426786194,
Guaranteed,0,36,https://cdn.shopify.com/s/files/1/0803/6591/products/guaranteed_navy.jpeg?v=1426786281,
Moon Cycle,4,36,https://cdn.shopify.com/s/files/1/0803/6591/products/lunarcirque_gunmetal.jpeg?v=1426786238,
5 Panel Camp Cap,2,48,https://cdn.shopify.com/s/files/1/0803/6591/products/5-panel-hat_4ee20a27-8d5a-490e-a2fc-1f9c3beb7bf5.jpg?v=1426709889,
Dawson Trolley,0,278,https://cdn.shopify.com/s/files/1/0803/6591/products/DawsonTrolley_Moss_Front_6cca3dc3-51d3-4205-a1e1-ed5d9a03e181.jpeg?v=1426786397,"100% waxed organic cotton canvas, moss green, khaki, nutmeg, navy blue, trolley duffle travel bag."
Canvas Lunch Bag,2,32,https://cdn.shopify.com/s/files/1/0803/6591/products/Lunchbag_Khaki_Front_8ae0e1f4-407d-4ac0-89e6-961b306ef351.jpeg?v=1426786436,
Duckworth Woolfill Jacket,7,188,https://cdn.shopify.com/s/files/1/0803/6591/products/woolfill-jacket_6c39ae23-c0c8-4821-85f4-4b5d64333c62.jpg?v=1426709876,
Scout Backpack,0,128,https://cdn.shopify.com/s/files/1/0803/6591/products/scout-backpack_a035275d-8975-4a05-8456-5e1ec35f020f.jpg?v=1426709869,
Cydney Plaid,1,98,https://cdn.shopify.com/s/files/1/0803/6591/products/CydneyPlaid_Longsleeve_e72db08c-cd32-41eb-8251-d826cf0fc299.jpeg?v=1426786085,"100% Organic Cotton Plaid woven button down womens shirt, 4 oz Natural Corozo Buttons Made in the USA"
Red Wing Iron Ranger Boot,1,310,https://cdn.shopify.com/s/files/1/0803/6591/products/boot.jpg?v=1426709753,
Long Sleeve Swing Shirt,8,46,https://cdn.shopify.com/s/files/1/0803/6591/products/swing_deepwater_26dfd395-1a9b-4ff0-9f47-10331738fded.jpeg?v=1426786268,
Hudderton Backpack,8,98,https://cdn.shopify.com/s/files/1/0803/6591/products/hudderton-backpack_dc8afb13-448b-49d9-a042-5a163a97de8f.jpg?v=1426709346,"100% organic canvas exterior with adjustable back straps, leather details, and brass hardware. Available in Navy Blue, Khaki, Moss Green, and Nutmeg"
